City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,26.0,75,21,8.81,PF,1674469539
1,esperance,-33.8667,121.9,21.74,61,0,8.82,AU,1674469663
2,ushuaia,-54.8,-68.3,12.81,47,75,6.17,AR,1674469664
3,punta arenas,-53.15,-70.9167,12.06,71,0,5.66,CL,1674469664
4,prieska,-29.6641,22.7474,33.65,23,6,3.31,ZA,1674469665
5,mecca,21.4267,39.8261,27.9,40,0,3.74,SA,1674469665
6,gat,31.61,34.7642,22.1,100,0,1.61,IL,1674469666
7,san rafael del sur,11.8485,-86.4384,20.54,73,3,4.43,NI,1674469666
8,vaini,-21.2,-175.2,24.09,100,20,0.0,TO,1674469667
9,rikitea,-23.1203,-134.9692,26.02,78,2,7.81,PF,1674469667
10,ercis,39.0287,43.3586,1.54,54,38,1.59,TR,1674469668
11,linqing,36.8456,115.7117,-3.26,56,97,6.6,CN,1674469668
12,hithadhoo,-0.6,73.0833,27.27,73,22,2.64,MV,1674469669
13,faanui,-16.4833,-151.75,26.48,68,100,3.66,PF,1674469669
14,kuito,-12.3833,16.9333,21.71,56,100,4.01,AO,1674469670
15,yellowknife,62.456,-114.3525,-15.71,85,100,4.12,CA,1674469442
16,tucuman,-26.8241,-65.2226,22.0,88,75,2.57,AR,1674469671
17,arraial do cabo,-22.9661,-42.0278,24.98,88,0,3.6,BR,1674469671
18,hilo,19.7297,-155.09,22.93,89,0,3.09,US,1674469672
19,ponta do sol,32.6667,-17.1,18.96,49,72,3.48,PT,1674469672
20,mandalgovi,45.7625,106.2708,-25.77,64,0,4.8,MN,1674469673
21,pevek,69.7008,170.3133,-30.6,88,96,1.17,RU,1674469673
22,cabo san lucas,22.8909,-109.9124,16.95,82,47,0.45,MX,1674469673
23,kahului,20.8947,-156.47,23.25,82,0,2.06,US,1674469674
24,jamestown,42.097,-79.2353,-0.23,75,100,4.12,US,1674469674
25,iralaya,15.0,-83.2333,24.54,83,12,5.15,HN,1674469675
26,port alfred,-33.5906,26.891,26.21,85,21,2.68,ZA,1674469676
27,new norfolk,-42.7826,147.0587,18.72,77,99,0.45,AU,1674469677
28,port macquarie,-31.4333,152.9167,21.05,84,56,3.77,AU,1674469576
29,bluff,-46.6,168.3333,12.46,64,31,3.3,NZ,1674469678
30,akyab,20.15,92.9,27.75,48,53,7.05,MM,1674469679
31,whakatane,-37.9585,176.9854,18.21,86,85,1.67,NZ,1674469679
32,mahebourg,-20.4081,57.7,27.16,78,75,4.12,MU,1674469680
33,avera,33.194,-82.5271,7.73,79,81,5.77,US,1674469681
34,mar del plata,-38.0023,-57.5575,19.49,84,0,3.58,AR,1674469682
35,launceston,-41.45,147.1667,18.12,81,40,1.54,AU,1674469637
36,nantucket,41.2835,-70.0995,11.03,98,100,6.69,US,1674469683
37,acapulco,16.8634,-99.8901,22.9,78,0,2.57,MX,1674469683
38,alofi,-19.0595,-169.9187,22.94,100,45,0.0,NU,1674469684
39,ayr,55.4627,-4.6339,9.17,93,75,2.57,GB,1674469684
40,albany,42.6001,-73.9662,0.36,93,100,2.57,US,1674469441
41,cape town,-33.9258,18.4232,28.95,58,0,7.72,ZA,1674469495
42,severobaykalsk,55.65,109.3167,-33.71,95,56,1.68,RU,1674469686
43,atar,20.5169,-13.0499,21.83,11,0,4.31,MR,1674469686
44,bengkulu,-3.8004,102.2655,24.64,90,100,3.81,ID,1674469411
45,busselton,-33.65,115.3333,26.81,45,0,9.12,AU,1674469422
46,avarua,-21.2078,-159.775,23.03,94,70,1.54,CK,1674469688
47,la ciotat,43.1748,5.6045,7.93,58,79,4.01,FR,1674469688
48,barrow,71.2906,-156.7887,-22.99,77,20,6.17,US,1674469689
49,qaanaaq,77.484,-69.3632,-32.89,49,0,3.45,GL,1674469689
50,de aar,-30.6497,24.0123,31.42,25,4,6.21,ZA,1674469690
51,las juntas,19.4167,-104.7,15.26,94,2,1.76,MX,1674469690
52,mataura,-46.1927,168.8643,7.39,93,15,0.32,NZ,1674469691
53,touros,-5.1989,-35.4608,27.41,74,10,4.69,BR,1674469691
54,biloela,-24.4167,150.5,23.99,73,75,3.39,AU,1674469692
55,puerto madero,14.7208,-92.4215,21.11,100,0,0.0,MX,1674469692
56,sitka,57.0531,-135.33,6.94,81,100,5.66,US,1674469693
57,mount isa,-20.7333,139.5,29.87,28,18,1.54,AU,1674469694
58,broome,42.2506,-75.833,0.66,91,100,3.09,US,1674469694
59,namibe,-15.1961,12.1522,24.12,78,100,4.01,AO,1674469695
60,tuktoyaktuk,69.4541,-133.0374,-24.37,96,100,3.14,CA,1674469695
61,hamilton,39.1834,-84.5333,0.69,93,100,5.14,US,1674469695
62,college,64.8569,-147.8028,-24.03,73,100,2.06,US,1674469696
63,tuatapere,-46.1333,167.6833,8.92,79,33,0.72,NZ,1674469696
64,san patricio,28.017,-97.5169,16.02,59,0,4.24,US,1674469697
65,bredasdorp,-34.5322,20.0403,30.19,42,3,2.97,ZA,1674469698
66,faya,18.3851,42.4509,19.29,51,7,3.96,SA,1674469698
67,kapaa,22.0752,-159.319,21.73,93,5,3.17,US,1674469699
68,narsaq,60.9167,-46.05,-12.88,67,100,3.63,GL,1674469700
69,khatanga,71.9667,102.5,-43.93,99,55,0.7,RU,1674469700
70,salalah,17.0151,54.0924,26.05,57,40,5.14,OM,1674469700
71,souillac,-20.5167,57.5167,27.21,78,75,4.12,MU,1674469701
72,castro,-24.7911,-50.0119,18.36,90,100,0.35,BR,1674469701
73,sheltozero,61.3667,35.3667,-10.0,96,81,1.8,RU,1674469702
74,chumikan,54.7183,135.315,-29.63,85,99,5.56,RU,1674469703
75,islamkot,24.6997,70.177,23.49,20,4,6.56,PK,1674469704
76,upata,8.0086,-62.3989,20.66,81,91,3.71,VE,1674469704
77,quievrain,50.4074,3.6835,3.98,86,92,4.47,BE,1674469705
78,arman,59.7,150.1667,-25.58,86,47,4.27,RU,1674469705
79,kirakira,-10.4544,161.9205,25.93,82,100,1.73,SB,1674469706
80,bac lieu,9.285,105.7244,27.64,69,99,7.67,VN,1674469706
81,bulgan,48.8125,103.5347,-29.59,90,3,1.93,MN,1674469706
